id,subject,education_level,chapter,topic_name,reference_component,component_type,student_note_evidence,label,numeric_score,is_hard_negative,source_type,source_reference
REC-GEO-01111,Geography,Class 11,Landforms and their Evolution,Agents of Gradation and River Landforms,"Running water as a geomorphic agent creates erosional landforms (V-shaped valleys, waterfalls, gorges) in youthful stage and depositional landforms (deltas, alluvial fans, levees) in old stage.",process,Running water = a primary agent of gradation shaping Earth's surface.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 7, Section 7.2"
REC-MAT-00824,Mathematics,Class 12,Matrices and Determinants,Inverse of a Matrix,Inverse of a square matrix A exists if det(A) != 0 (non-singular) and is calculated by A^(-1) = (1 / det(A)) * adj(A).,formula,Key Point: Inverse A^-1 = adj(A) / |A| exists only if |A| != 0 (non-singular matrix). [Summary],FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Mathematics Part 1, Chapter 4, Section 4.5"
REC-GEO-00999,Geography,Class 11,Fundamentals of Physical Geography,Theory of Plate Tectonics,"Theory of plate tectonics explains large-scale movement of Earth's lithospheric plates over convective asthenosphere forming divergent, convergent, and transform boundaries.",core_concept,"Earth's rigid outer lithosphere = broken into major and minor tectonic plates moving over warm convective asthenosphere. Plate interactions form divergent, convergent, and transform boundaries.",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 4, Section 4.4"
REC-GEO-01041,Geography,Class 11,Fundamentals of Physical Geography,Locating Tectonic Plates on World Map,"Locating and mapping major tectonic plates (Pacific, Eurasian, African, Indo-Australian, North American, South American, Antarctic) on a world map.",process,"Mapping 7 major plates: Pacific plate surrounds Ring of Fire, Indo-Australian plate meets Eurasian plate at Himalayas, Mid-Atlantic Ridge lies between American and African plates.",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 4, Section 4.4.1"
REC-BIO-00760,Biology,Class 11,Biomolecules,Enzyme Action and Mechanism,Enzymes lower activation energy barrier to accelerate biochemical reactions via active site substrate binding (lock and key / induced fit).,process,Key Point: Cofactors like coenzymes and prosthetic groups increase catalytic activity. [Summary],MISSING,0.0,False,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 9, Section 9.8"
REC-CHE-00433,Chemistry,Class 12,Haloalkanes and Haloarenes,SN1 vs SN2 Nucleophilic Substitution Mechanism,"SN1 mechanism involves carbocation intermediate with inversion/racemization, while SN2 involves concerted single-step transition state with complete inversion.",process,SN2 mechanism: bimolecular nucleophilic substitution with Walden inversion.,FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Chemistry Part 2, Chapter 10, Section 10.7"
REC-MAT-00982,Mathematics,Class 10,Quadratic Equations,Quadratic Formula and Discriminant,Quadratic formula x = [-b +- sqrt(b^2 - 4ac)] / (2a) solves ax^2 + bx + c = 0 with discriminant D = b^2 - 4ac determining root nature.,formula,Exam Revision: Factoring method decomposes quadratic trinomial into linear factors. (Important for final exam),MISSING,0.0,True,NCERT Textbooks,"NCERT Class 10 Mathematics, Chapter 4, Section 4.4"
REC-PHY-00065,Physics,Class 12,Electrostatic Potential and Capacitance,Energy Stored in a Capacitor,Electrostatic potential energy stored in a charged capacitor is U = (1/2) * C * V^2 = Q^2 / (2C).,formula,A charged capacitor stores electrostatic potential energy in its electric field.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 12 Physics Part 1, Chapter 2, Section 2.10"
REC-MAT-00846,Mathematics,Class 12,Matrices and Determinants,Inverse of a Matrix,Inverse of a square matrix A exists if det(A) != 0 (non-singular) and is calculated by A^(-1) = (1 / det(A)) * adj(A).,formula,"Exam Revision: Determinant of 2x2 matrix [[a,b],[c,d]] is ad - bc. (Important for final exam)",MISSING,0.0,True,NCERT Textbooks,"NCERT Class 12 Mathematics Part 1, Chapter 4, Section 4.5"
REC-PHY-00047,Physics,Class 12,Electrostatic Potential and Capacitance,Parallel Plate Capacitor,Capacitance of a parallel plate capacitor in vacuum is C = (epsilon_0 * A) / d where A is plate area and d is separation.,formula,Current in a conductor = proportional to applied potential difference.,MISSING,0.0,False,NCERT Textbooks,"NCERT Class 12 Physics Part 1, Chapter 2, Section 2.8"
REC-BIO-00526,Biology,Class 11,Cell: The Unit of Life,Fluid Mosaic Model of Cell Membrane,"Fluid mosaic model describes cell membrane as a phospholipid bilayer with polar hydrophilic heads outside and nonpolar hydrophobic tails inside, with embedded proteins.",definition,"Exam Revision: Fluid mosaic model proposed by Singer and Nicolson: quasi-fluid phospholipid bilayer with polar hydrophilic heads facing outward and nonpolar hydrophobic fatty acid tails facing inward, integrated with transport proteins. (Important for final exam)",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 8, Section 8.5.1"
REC-BIO-00666,Biology,Class 12,Principles of Inheritance and Variation,Mendel's Law of Segregation,Mendel's Law of Segregation states that allele pairs separate during gamete formation so each gamete carries only one allele for each gene.,core_concept,"- Law of segregation: during meiosis gametogenesis, the two alleles of a gene pair segregate cleanly so each haploid gamete receives only one allele.",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Biology, Chapter 5, Section 5.2.1"
REC-MAT-00768,Mathematics,Class 12,Integrals,Integration by Parts,Integration by parts formula is int(u * dv) = u * v - int(v * du) with ILATE rule for selecting first function u.,formula,"Key Point: Integration by parts formula: int(u dv) = u*v - int(v du). ILATE rule determines priority for u: Inverse trig, Logarithmic, Algebraic, Trigonometric, Exponential. [Summary]",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Mathematics Part 2, Chapter 7, Section 7.5"
REC-MAT-00960,Mathematics,Class 10,Quadratic Equations,Quadratic Formula and Discriminant,Quadratic formula x = [-b +- sqrt(b^2 - 4ac)] / (2a) solves ax^2 + bx + c = 0 with discriminant D = b^2 - 4ac determining root nature.,formula,Key Point: Quadratic formula x = (-b +- sqrt(D)) / (2a) where D = b^2 - 4ac. [Summary],FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 10 Mathematics, Chapter 4, Section 4.4"
REC-BIO-00610,Biology,Class 11,Photosynthesis in Higher Plants,Light Reaction and Photophosphorylation,"Non-cyclic photophosphorylation (Z-scheme) involves Photosystems II and I, water splitting (photolysis), ATP synthesis, and NADPH formation.",process,- Plant transpiration moves water from roots to leaves through xylem vessel tracheids.,MISSING,0.0,False,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 13, Section 13.6"
REC-MAT-00923,Mathematics,Class 12,Probability,Bayes' Theorem,Bayes' theorem calculates conditional probability P(Ai|B) = [P(Ai) * P(B|Ai)] / sum[P(Ak) * P(B|Ak)] for partition events Ai.,formula,Note: Conditional probability P(A|B) = P(A intersection B) / P(B) where P(B) != 0.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 12 Mathematics Part 2, Chapter 13, Section 13.3"
REC-GEO-01065,Geography,Class 11,Fundamentals of Physical Geography,Locating Tectonic Plates on World Map,"Locating and mapping major tectonic plates (Pacific, Eurasian, African, Indo-Australian, North American, South American, Antarctic) on a world map.",process,Himalayas formed by collision of Indian and Eurasian plates.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 4, Section 4.4.1"
REC-CHE-00366,Chemistry,Class 12,Electrochemistry,Nernst Equation,Nernst equation for electrode potential E = E_0 - (RT / nF) * ln(Q) where Q is reaction quotient.,formula,Exam Revision: Faraday's first law of electrolysis states mass deposited is m = Z * Q. (Important for final exam),MISSING,0.0,True,NCERT Textbooks,"NCERT Class 12 Chemistry Part 1, Chapter 3, Section 3.3"
REC-PHY-00173,Physics,Class 12,Electric Charges and Fields,Field Inside a Thin Spherical Shell,Electric field inside a uniformly charged thin spherical shell (r < R) is strictly zero (E = 0) because enclosed charge is zero.,core_concept,"Outside a spherical shell, electrc field behaves as if all charge were at center E = kQ/r^2.",MISSING,0.0,True,NCERT Textbooks,"NCERT Class 12 Physics Part 1, Chapter 1, Section 1.15.3"
REC-GEO-01182,Geography,Class 11,Natural Hazards and Disasters,Causes of Disasters and Mitigation Strategies,"Natural disasters (earthquakes, landslides, GLOF, floods) require proactive mitigation strategies including hazard risk mapping, early warning systems, slope stabilization, and afforestation.",process,Exam Revision: Monsoon rainfall brings heavy water to Indian subcontinent between June and September. (Important for final exam),MISSING,0.0,False,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 7 (Disasters), Section 7.4"
REC-CHE-00311,Chemistry,Class 12,Chemical Kinetics,Arrhenius Equation,Arrhenius equation k = A * exp(-Ea / (R * T)) describes temperature dependence of reaction rate constant k.,formula,Activation energy Ea = the minimum energy required to form activated complex.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 12 Chemistry Part 1, Chapter 4, Section 4.5"
REC-CHE-00342,Chemistry,Class 12,Electrochemistry,Nernst Equation,Nernst equation for electrode potential E = E_0 - (RT / nF) * ln(Q) where Q is reaction quotient.,formula,Exam Revision: Cell potential E = E0 - (RT/nF) ln Q. (Important for final exam),FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Chemistry Part 1, Chapter 3, Section 3.3"
REC-MAT-00830,Mathematics,Class 12,Matrices and Determinants,Inverse of a Matrix,Inverse of a square matrix A exists if det(A) != 0 (non-singular) and is calculated by A^(-1) = (1 / det(A)) * adj(A).,formula,Exam Revision: Inverse matrix satisfies property A * A^-1 = A^-1 * A = I. (Important for final exam),PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 12 Mathematics Part 1, Chapter 4, Section 4.5"
REC-BIO-00723,Biology,Class 11,Biomolecules,Enzyme Action and Mechanism,Enzymes lower activation energy barrier to accelerate biochemical reactions via active site substrate binding (lock and key / induced fit).,process,"Note: Enzyme mechanism: substrate binds active site forming ES intermediate, lowering reaction activation energy. [Ref: NCERT Chapter notes]",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 9, Section 9.8"
REC-PHY-00202,Physics,Class 12,Electromagnetic Induction,Faraday's Law of Induction,Induced electromotive force emf = - d(phi_B) / dt is proportional to negative rate of change of magnetic flux.,formula,- Changing magnetic field produces induced electric current in closed loop.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 12 Physics Part 1, Chapter 6, Section 6.3"
REC-MAT-00811,Mathematics,Class 12,Matrices and Determinants,Inverse of a Matrix,Inverse of a square matrix A exists if det(A) != 0 (non-singular) and is calculated by A^(-1) = (1 / det(A)) * adj(A).,formula,Note: Square matrix A has inverse A^-1 = (1 / det(A)) * adj(A) provided determinant det(A) != 0. [Ref: NCERT Chapter notes],FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Mathematics Part 1, Chapter 4, Section 4.5"
REC-CHE-00497,Chemistry,Class 11,States of Matter,Ideal Gas Equation,"Ideal gas equation P * V = n * R * T combines Boyle's law, Charles's law, and Avogadro's law for ideal gas behavior.",formula,Boyle's law states P is inversely proportional to V at constant T.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Chemistry Part 1, Chapter 5, Section 5.5"
REC-BIO-00741,Biology,Class 11,Biomolecules,Enzyme Action and Mechanism,Enzymes lower activation energy barrier to accelerate biochemical reactions via active site substrate binding (lock and key / induced fit).,process,Active site of enzyme binds specific substrate molecules. (refer to diagram for full details),PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 9, Section 9.8"
REC-BIO-00713,Biology,Class 11,Biomolecules,Enzyme Action and Mechanism,Enzymes lower activation energy barrier to accelerate biochemical reactions via active site substrate binding (lock and key / induced fit).,process,"Enzymes act as biocatalysts by binding substrate at active site to form ES complex, lowering activation energy Ea without changing overall equilibrium.",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 9, Section 9.8"
REC-PHY-00205,Physics,Class 12,Electromagnetic Induction,Faraday's Law of Induction,Induced electromotive force emf = - d(phi_B) / dt is proportional to negative rate of change of magnetic flux.,formula,Changing magnetic field produces induced electrc current in closed loop. (refer to diagram for full details),PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 12 Physics Part 1, Chapter 6, Section 6.3"
REC-GEO-00998,Geography,Class 11,Fundamentals of Physical Geography,Theory of Plate Tectonics,"Theory of plate tectonics explains large-scale movement of Earth's lithospheric plates over convective asthenosphere forming divergent, convergent, and transform boundaries.",core_concept,"Exam Revision: Earth's rigid outer lithosphere is broken into major and minor tectonic plates moving over warm convective asthenosphere. Plate interactions form divergent, convergent, and transform boundaries. (Important for final exam)",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 4, Section 4.4"
REC-MAT-00945,Mathematics,Class 10,Quadratic Equations,Quadratic Formula and Discriminant,Quadratic formula x = [-b +- sqrt(b^2 - 4ac)] / (2a) solves ax^2 + bx + c = 0 with discriminant D = b^2 - 4ac determining root nature.,formula,"Roots of ax^2 + bx + c = 0 given by x = (-b +- sqrt(b^2 - 4ac)) / (2a). Discriminant D = b^2 - 4ac: D>0 real distinct, D=0 real equal, D<0 complex.",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 10 Mathematics, Chapter 4, Section 4.4"
REC-BIO-00729,Biology,Class 11,Biomolecules,Enzyme Action and Mechanism,Enzymes lower activation energy barrier to accelerate biochemical reactions via active site substrate binding (lock and key / induced fit).,process,Enzymes accelerate reaction velocity at optimum temperature and pH.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 9, Section 9.8"
REC-BIO-00643,Biology,Class 12,Molecular Basis of Inheritance,DNA Double Helix Structure,"Watson and Crick DNA double helix model features antiparallel polynucleotide chains with complementary base pairing (A=T with 2 H-bonds, G=C with 3 H-bonds).",definition,Note: Watson and Crick proposed double helical structure of DNA in 1953.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 12 Biology, Chapter 6, Section 6.1"
REC-MAT-00793,Mathematics,Class 12,Integrals,Integration by Parts,Integration by parts formula is int(u * dv) = u * v - int(v * du) with ILATE rule for selecting first function u.,formula,Definite integral int_a^b f(x)dx represents net area under curve f(x) between x=a and x=b.,MISSING,0.0,True,NCERT Textbooks,"NCERT Class 12 Mathematics Part 2, Chapter 7, Section 7.5"
REC-CHE-00437,Chemistry,Class 12,Haloalkanes and Haloarenes,SN1 vs SN2 Nucleophilic Substitution Mechanism,"SN1 mechanism involves carbocation intermediate with inversion/racemization, while SN2 involves concerted single-step transition state with complete inversion.",process,SN2 mechnism: bimolecular nucleophilic substitution with Walden inversion.,FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Chemistry Part 2, Chapter 10, Section 10.7"
REC-PHY-00150,Physics,Class 12,Electric Charges and Fields,Field Inside a Thin Spherical Shell,Electric field inside a uniformly charged thin spherical shell (r < R) is strictly zero (E = 0) because enclosed charge is zero.,core_concept,Exam Revision: Electric field inside a thin spherical shell is zero (E = 0 for r < R). (Important for final exam),FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Physics Part 1, Chapter 1, Section 1.15.3"
REC-BIO-00675,Biology,Class 12,Principles of Inheritance and Variation,Mendel's Law of Segregation,Mendel's Law of Segregation states that allele pairs separate during gamete formation so each gamete carries only one allele for each gene.,core_concept,Note: Alleles segregate during gamete formation with 1:2:1 monohybrid genotypic ratio. [Ref: NCERT Chapter notes],FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Biology, Chapter 5, Section 5.2.1"
REC-GEO-01099,Geography,Class 11,Landforms and their Evolution,Agents of Gradation and River Landforms,"Running water as a geomorphic agent creates erosional landforms (V-shaped valleys, waterfalls, gorges) in youthful stage and depositional landforms (deltas, alluvial fans, levees) in old stage.",process,Note: Fluvial landforms: upper course erosion creates gorges/waterfalls; lower course deposition creates oxbow lakes and deltas. [Ref: NCERT Chapter notes],FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 7, Section 7.2"
REC-BIO-00611,Biology,Class 11,Photosynthesis in Higher Plants,Light Reaction and Photophosphorylation,"Non-cyclic photophosphorylation (Z-scheme) involves Photosystems II and I, water splitting (photolysis), ATP synthesis, and NADPH formation.",process,Note: Plant transpiration moves water from roots to leaves through xylem vessel tracheids.,MISSING,0.0,False,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 13, Section 13.6"
REC-GEO-01010,Geography,Class 11,Fundamentals of Physical Geography,Theory of Plate Tectonics,"Theory of plate tectonics explains large-scale movement of Earth's lithospheric plates over convective asthenosphere forming divergent, convergent, and transform boundaries.",core_concept,- Plate tectonics explains continental drift and mountain formation.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 4, Section 4.4"
REC-BIO-00642,Biology,Class 12,Molecular Basis of Inheritance,DNA Double Helix Structure,"Watson and Crick DNA double helix model features antiparallel polynucleotide chains with complementary base pairing (A=T with 2 H-bonds, G=C with 3 H-bonds).",definition,- Watson and Crick proposed double helical structure of DNA in 1953.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 12 Biology, Chapter 6, Section 6.1"
REC-MAT-00947,Mathematics,Class 10,Quadratic Equations,Quadratic Formula and Discriminant,Quadratic formula x = [-b +- sqrt(b^2 - 4ac)] / (2a) solves ax^2 + bx + c = 0 with discriminant D = b^2 - 4ac determining root nature.,formula,"Note: Roots of ax^2 + bx + c = 0 given by x = (-b +- sqrt(b^2 - 4ac)) / (2a). Discriminant D = b^2 - 4ac: D>0 real distinct, D=0 real equal, D<0 complex. [Ref: NCERT Chapter notes]",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 10 Mathematics, Chapter 4, Section 4.4"
REC-GEO-01096,Geography,Class 11,Landforms and their Evolution,Agents of Gradation and River Landforms,"Running water as a geomorphic agent creates erosional landforms (V-shaped valleys, waterfalls, gorges) in youthful stage and depositional landforms (deltas, alluvial fans, levees) in old stage.",process,"Key Point: Rivers erode V-shaped valleys, canyons, and waterfalls in steep upper courses, and deposit alluvial fans, meanders, and deltas in lower plains. [Summary]",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 7, Section 7.2"
REC-PHY-00262,Physics,Class 12,Ray Optics and Optical Instruments,Lens Maker's Formula,"Lens maker's formula 1/f = (n - 1) * (1/R1 - 1/R2) relates focal length f of a thin lens to refractive index n and radii of curvature R1, R2.",formula,Exam Revision: Lens formula 1/v - 1/u = 1/f relates object and image distances. (Important for final exam),PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 12 Physics Part 2, Chapter 9, Section 9.5"
REC-PHY-00034,Physics,Class 12,Electrostatic Potential and Capacitance,Parallel Plate Capacitor,Capacitance of a parallel plate capacitor in vacuum is C = (epsilon_0 * A) / d where A is plate area and d is separation.,formula,- Capacitors can be connected in series and parallel combinations.,MISSING,0.0,True,NCERT Textbooks,"NCERT Class 12 Physics Part 1, Chapter 2, Section 2.8"
REC-GEO-01003,Geography,Class 11,Fundamentals of Physical Geography,Theory of Plate Tectonics,"Theory of plate tectonics explains large-scale movement of Earth's lithospheric plates over convective asthenosphere forming divergent, convergent, and transform boundaries.",core_concept,"Note: Plate tectonics: lithospheric plates float on asthenosphere, interacting along divergent (rift), convergent (trench/mountain), and transform faults. [Ref: NCERT Chapter notes]",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 4, Section 4.4"
REC-BIO-00528,Biology,Class 11,Cell: The Unit of Life,Fluid Mosaic Model of Cell Membrane,"Fluid mosaic model describes cell membrane as a phospholipid bilayer with polar hydrophilic heads outside and nonpolar hydrophobic tails inside, with embedded proteins.",definition,"Key Point: Fluid mosaic model proposed by Singer and Nicolson: quasi-fluid phospholipid bilayer with polar hydrophilic heads facing outward and nonpolar hydrophobic fatty acid tails facing inward, integrated with transport proteins. [Summary]",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 8, Section 8.5.1"
REC-MAT-00946,Mathematics,Class 10,Quadratic Equations,Quadratic Formula and Discriminant,Quadratic formula x = [-b +- sqrt(b^2 - 4ac)] / (2a) solves ax^2 + bx + c = 0 with discriminant D = b^2 - 4ac determining root nature.,formula,"- Roots of ax^2 + bx + c = 0 given by x = (-b +- sqrt(b^2 - 4ac)) / (2a). Discriminant D = b^2 - 4ac: D>0 real distinct, D=0 real equal, D<0 complex.",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 10 Mathematics, Chapter 4, Section 4.4"
REC-BIO-00602,Biology,Class 11,Photosynthesis in Higher Plants,Light Reaction and Photophosphorylation,"Non-cyclic photophosphorylation (Z-scheme) involves Photosystems II and I, water splitting (photolysis), ATP synthesis, and NADPH formation.",process,- Calvin cycle (dark reaction) fixes CO2 into glucose using RuBisCO enzyme in C3 plants.,MISSING,0.0,True,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 13, Section 13.6"
REC-GEO-01152,Geography,Class 11,Natural Hazards and Disasters,Causes of Disasters and Mitigation Strategies,"Natural disasters (earthquakes, landslides, GLOF, floods) require proactive mitigation strategies including hazard risk mapping, early warning systems, slope stabilization, and afforestation.",process,"Key Point: Mitigating natural hazards (landslides, GLOF, floods): risk mapping, early warning systems, slope stabilization, and disaster management plans. [Summary]",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 7 (Disasters), Section 7.4"
REC-CHE-00459,Chemistry,Class 12,Haloalkanes and Haloarenes,SN1 vs SN2 Nucleophilic Substitution Mechanism,"SN1 mechanism involves carbocation intermediate with inversion/racemization, while SN2 involves concerted single-step transition state with complete inversion.",process,Note: Electrophilic aromatic substitution occurs in benzene rings using Lewis acid catalysts.,MISSING,0.0,True,NCERT Textbooks,"NCERT Class 12 Chemistry Part 2, Chapter 10, Section 10.7"
REC-PHY-00272,Physics,Class 12,Ray Optics and Optical Instruments,Lens Maker's Formula,"Lens maker's formula 1/f = (n - 1) * (1/R1 - 1/R2) relates focal length f of a thin lens to refractive index n and radii of curvature R1, R2.",formula,Key Point: Total internal reflection occurs when light exceeds critical angle. [Summary],MISSING,0.0,True,NCERT Textbooks,"NCERT Class 12 Physics Part 2, Chapter 9, Section 9.5"
REC-CHE-00329,Chemistry,Class 12,Electrochemistry,Nernst Equation,Nernst equation for electrode potential E = E_0 - (RT / nF) * ln(Q) where Q is reaction quotient.,formula,Nernst equation at 298K: E = E0 - (0.0591 / n) * log([Red]/[Ox]). Calculates cell EMF at non-standard concentrations.,FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Chemistry Part 1, Chapter 3, Section 3.3"
